#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2018-06-26T18:52:37 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5b32848e92e8	
#INFO	-out.max=1000	
#INFO	queryParameters=27	
#-oc.form=dec
#-out.max=1000
#-order=I
#-out.src=J/ApJS/192/5/hetdex
#-nav=cat:J/ApJS/192/5&tab:{J/ApJS/192/5/hetdex}&key:source=J/ApJS/192/5/hetdex&HTTPPRM:&&-ref=VIZ5b32848e92e8&-out.max=1000&-out.form=HTML Table&-oc.form=sexa&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-order=I&-out=HPS&-out=lambda&-out=FWHM&-out=S/N&-out=Flux&-out=Spat&-out=mag&-out=n_mag&-out=Prob&-out=EW&-out=EWint&-out=Trans&-out=z&-out=Lya&-out=X-ray&-out=RAJ2000&-out=DEJ2000&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=J/ApJS/192/5/hetdex
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/ApJS/192/5/hetdex
#-out=HPS
#-out=lambda
#-out=FWHM
#-out=S/N
#-out=Flux
#-out=Spat
#-out=mag
#-out=n_mag
#-out=Prob
#-out=EW
#-out=EWint
#-out=Trans
#-out=z
#-out=Lya
#-out=X-ray
#-out=RAJ2000
#-out=DEJ2000
#

#RESOURCE=yCat_21920005
#Name: J/ApJS/192/5
#Title: Emission-line galaxies from HETDEX pilot survey (Adams+, 2011)
#Table	J_ApJS_192_5_hetdex:
#Name: J/ApJS/192/5/hetdex
#Title: HETDEX pilot survey emission line catalog  and classification
#Column	HPS	(I3)	HETDEX Pilot Survey index number	[ucd=meta.id;meta.main]
#Column	lambda	(F7.2)	Observed emission wavelength (1)	[ucd=em.wl]
#Column	FWHM	(I4)	Emission line intrinsic FWHM (2)	[ucd=spect.line.width;spect.line]
#Column	S/N	(F5.1)	Emission line Signal-to-Noise	[ucd=stat.snr;spect.line]
#Column	Flux	(F6.1)	Emission line flux (in 10^-17^erg/cm^2^/s) (3)	[ucd=phot.flux;spect.line]
#Column	Spat	(F4.1)	Emission line spatial FWHM (3)	[ucd=phys.angSize]
#Column	mag	(F5.2)	? Counterpart R or i' band magnitude (1)	[ucd=phot.mag;em.opt]
#Column	n_mag	(A1)	Simbad column added by the CDS	[ucd=instr.bandpass]
#Column	Prob	(F5.2)	Probability of counterpart association	[ucd=meta.id.assoc;stat.probability]
#Column	EW	(F6.1)	Rest-frame equivalent width (2)	[ucd=spect.line.eqWidth]
#Column	EWint	(F6.1)	Interpolated rest-frame equivalent width (3)	[ucd=spect.line.eqWidth]
#Column	Trans	(a11)	Emission line transition (4)	[ucd=meta.id;phys.atmol.transition]
#Column	z	(F7.4)	Estimated redshift	[ucd=src.redshift]
#Column	Lya	(F5.2)	Probability emission line is Ly{alpha} (5)	[ucd=stat.fit.goodness]
#Column	X-ray	(A16)	X-ray counterpart identification (JHHMMSSs+DDMMSS)	[ucd=meta.id.cross]
#Column	RAJ2000	(A11)	Hour of Right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A11)	Degree of Declination (J2000)	[ucd=pos.eq.dec;meta.main]
HPS	lambda	FWHM	S/N	Flux	Spat	mag	n_mag	Prob	EW	EWint	Trans	z	Lya	X-ray	RAJ2000	DEJ2000
 	0.1nm	km/s	 	10-20W/m2	arcsec	mag	 	 	0.1nm	0.1nm	 	 	 	 	"h:m:s"	"d:m:s"
---	-------	----	-----	------	----	-----	-	-----	------	------	-----------	-------	-----	----------------	-----------	-----------
  1	5219.16	 229	  8.1	  17.4	 4.7	23.05	R	 0.93	  51.9	  62.9	[OII]      	 0.4004	 0.07	                	02 21 11.16	-04 31 25.0
  2	5448.72	 307	  5.6	  12.2	 4.3	23.17	R	 0.96	  42.0	  59.8	[OII]      	 0.4620	 0.04	                	02 21 12.21	-04 32 25.3
  3	4973.93	 422	  7.5	  19.9	 4.4	24.31	R	 0.98	  58.8	 109.0	Ly{alpha}  	 3.0915	 1.00	                	02 21 14.28	-04 31 38.2
  4	5261.37	1285	  6.3	  42.6	 5.1	21.05	R	 0.98	  10.4	   7.1	CIII]1909  	 1.7561	 0.02	J0221151-043156 	02 21 14.86	-04 31 56.6
  5	4270.67	1841	 33.1	 342.1	 4.8	21.05	R	 1.00	  54.9	  55.1	CIV1549    	 1.7570	 0.00	J0221151-043156 	02 21 15.14	-04 31 54.0
  6	4591.58	 399	 14.8	  32.7	 4.6	23.82	R	 0.89	  56.7	  74.1	Ly{alpha}  	 2.7770	 1.00	                	02 21 16.26	-04 29 32.8
  7	5161.72	 293	 19.5	  49.4	 4.7	21.38	R	 0.98	  31.2	  48.3	[OII]      	 0.3850	 0.02	                	02 21 16.35	-04 31 14.6
  8	5820.13	 118	  6.7	  19.1	 6.6	22.82	R	 0.67	  51.2	  57.4	[OII]      	 0.5616	 0.01	                	02 21 17.25	-04 27 55.7
  9	5464.33	  78	 12.1	  14.1	 3.6	23.21	R	 0.98	  51.0	  49.0	[OII]      	 0.4661	 0.02	                	02 21 17.25	-04 30 10.4
 10	4808.33	 357	 15.9	  38.9	 4.6	21.43	R	 0.99	  24.0	  39.1	[OII]      	 0.2901	 0.01	                	02 21 17.47	-04 27 30.6
 11	4590.82	 441	  6.6	  21.2	 5.9	23.93	R	 0.56	  40.8	  39.3	Ly{alpha}  	 2.7764	 1.00	                	02 21 18.48	-04 27 32.2
 12	4398.59	 344	  9.9	  26.4	 5.7	20.27	R	 1.00	   5.1	  14.3	[OII]      	 0.1802	 0.00	                	02 21 19.20	-04 30 28.9
 13	5250.96	 378	  7.8	  11.7	 3.6	24.91	R	 0.70	  62.9	  92.3	Ly{alpha}  	 3.3194	 1.00	                	02 21 19.22	-04 30 39.9
 14	4863.62	 328	 21.8	  49.6	 5.5	21.69	R	 1.00	  39.3	  55.5	[OII]      	 0.3050	 0.00	                	02 21 19.47	-04 28 21.9
 15	4919.31	 243	 21.7	  36.2	 4.9	20.62	R	 1.00	  10.7	  18.8	[OII]      	 0.3199	 0.00	                	02 21 19.48	-04 29 34.0
 16	4901.07	 397	  5.9	  13.7	 5.3	22.17	R	 0.84	  17.0	  25.8	[OII]      	 0.3150	 0.00	                	02 21 19.83	-04 28 08.8
 17	4588.13	  93	  5.9	  13.2	 5.3	24.33	R	 0.96	  36.4	  34.2	Ly{alpha}  	 2.7742	 1.00	                	02 21 19.85	-04 27 43.4
 18	5655.44	 972	  8.2	  45.4	 5.6	20.49	R	 0.74	  14.4	  20.4	[NeIII]3869	 0.4617	 0.00	                	02 21 20.77	-04 30 56.6
 19	5452.07	 438	 26.8	  83.6	 5.6	20.48	R	 0.75	  24.3	  41.1	[OII]      	 0.4629	 0.00	                	02 21 20.78	-04 30 56.4
